Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,"Percent of patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their nurses ""Usually"" communicated well.","Percent of patients who reported that their nurses ""Always"" communicated well.","Percent of patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their doctors ""Usually"" communicated well.","Percent of patients who reported that their doctors ""Always"" communicated well.","Percent of patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted.","Percent of patients who reported that they ""Usually"" received help as soon as they wanted.","Percent of patients who reported that they ""Always"" received help as soon as they wanted.","Percent of patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled.","Percent of patients who reported that their pain was ""Usually"" well controlled.","Percent of patients who reported that their pain was ""Always"" well controlled.","Percent of patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Usually"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Always"" explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean.","Percent of patients who reported that their room and bathroom were ""Usually"" clean.","Percent of patients who reported that their room and bathroom were ""Always"" clean.","Percent of patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night.","Percent of patients who reported that the area around their room was ""Usually"" quiet at night.","Percent of patients who reported that the area around their room was ""Always"" quiet at night.","Percent of patients who reported that YES,they were given information about what to do during their recovery at home.",Percent of patients who reported that they were not given information about what to do during their recovery at home.,Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).,"Percent of patients who reported NO,they would not recommend the hospital.","Percent of patients who reported YES,they would probably recommend the hospital.","Percent of patients who reported YES,they would definitely recommend the hospital.",Number of Completed Surveys,Survey Response Rate Percent,Hospital Footnote
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,,,DOTHAN,AL,36302,HOUSTON,3347938701,9%,19%,72%,4%,14%,82%,19%,28%,53%,10%,27%,63%,22%,17%,61%,12%,25%,63%,7%,30%,63%,81%,19%,12%,23%,65%,8%,23%,69%,300 or more,31%,
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,,,BOAZ,AL,35957,MARSHALL,2565938310,4%,16%,80%,4%,13%,83%,11%,23%,66%,4%,19%,77%,18%,17%,65%,9%,15%,76%,5%,25%,70%,82%,18%,5%,18%,77%,4%,25%,71%,300 or more,35%,
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,,,FLORENCE,AL,35631,LAUDERDALE,2567688400,5%,17%,78%,2%,13%,85%,13%,27%,60%,6%,24%,70%,24%,17%,59%,12%,25%,63%,6%,28%,66%,81%,19%,9%,32%,59%,4%,36%,60%,300 or more,32%,
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,,,OPP,AL,36467,COVINGTON,3344933541,4%,19%,77%,3%,10%,87%,8%,27%,65%,8%,21%,71%,23%,19%,58%,7%,24%,69%,5%,31%,64%,70%,30%,12%,26%,62%,4%,35%,61%,300 or more,25%,
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,,,LUVERNE,AL,36049,CRENSHAW,3343353374,6%,21%,73%,0%,8%,92%,9%,22%,69%,5%,24%,71%,10%,13%,77%,8%,24%,68%,6%,25%,69%,79%,21%,7%,23%,70%,6%,22%,72%,Between 100 and 299,26%,
010009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,,,HARTSELLE,AL,35640,MORGAN,2567736511,4%,12%,84%,0%,9%,91%,4%,20%,76%,5%,16%,79%,24%,12%,64%,6%,13%,81%,2%,23%,75%,80%,20%,5%,18%,77%,5%,25%,70%,Between 100 and 299,29%,
010010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,,,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,3%,14%,83%,1%,10%,89%,5%,29%,66%,5%,20%,75%,23%,15%,62%,8%,18%,74%,4%,21%,75%,85%,15%,5%,18%,77%,3%,14%,83%,300 or more,37%,
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,,,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,4%,15%,81%,4%,13%,83%,8%,24%,68%,7%,22%,71%,20%,17%,63%,9%,23%,68%,7%,26%,67%,81%,19%,5%,20%,75%,2%,21%,77%,300 or more,32%,
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,,,FORT PAYNE,AL,35968,DE KALB,2568453150,6%,17%,77%,3%,13%,84%,8%,25%,67%,8%,20%,72%,22%,17%,61%,11%,21%,68%,9%,26%,65%,82%,18%,9%,25%,66%,6%,29%,65%,300 or more,26%,
010015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,,,THOMASVILLE,AL,36784,CLARKE,3346366221,6%,15%,79%,3%,10%,87%,12%,16%,72%,11%,19%,70%,27%,14%,59%,19%,21%,60%,10%,18%,72%,76%,24%,14%,30%,56%,9%,41%,50%,Between 100 and 299,26%,
